职位名称,职位地址,薪资,学历经验要求,公司名称,公司信息,公司福利,详情页链接
python开发组长（odoo）,杭州,22-30K,5-10年大专,杭州迅得,电子/半导体/集成电路未融资100-499人,年终奖，节日福利，五险一金，员工旅游，全勤奖，餐补，带薪年假，定期体检,https://www.zhipin.com/job_detail/3b2ef5a8c388ed2d1XR_2ty_GFJT.html
Python,杭州·余杭区·仓前,5-10K,经验不限本科,凡习科技,培训机构未融资20-99人,,https://www.zhipin.com/job_detail/38c150db96a4f97d1XR43dS9GFRV.html
Python工程师（杭州）,杭州·西湖区·转塘,11-20K·13薪,1-3年大专,浩鲸科技,通信/网络设备未融资10000人以上,带薪年假，年终奖，股票期权，定期体检，节日福利，通讯补贴，餐补，补充医疗保险，五险一金，员工旅游，免费班车，交通补助，零食下午茶,https://www.zhipin.com/job_detail/a63acac3624b2d501nN82du1EFJV.html
Python开发工程师,杭州·滨江区·浦沿,12-20K,1-3年本科,杭州荣安科技有限公司,计算机软件不需要融资20-99人,年终奖，五险一金，带薪年假，节日福利，团建活动，零食下午茶,https://www.zhipin.com/job_detail/92ff668aee7e1a951nx52tS5GVRY.html
Python开发工程师,杭州·滨江区·长河,13-26K,1-3年大专,软通动力信息技术集团,计算机软件已上市10000人以上,零食下午茶，五险一金，定期体检，全勤奖，年终奖，带薪年假，包吃，交通补助，节日福利，补充医疗保险，加班补助，餐补，通讯补贴，免费班车，员工旅游,https://www.zhipin.com/job_detail/ad2372a6f6f1faee1XZ-29S8F1ZZ.html
python开发工程师,杭州·西湖区·黄龙,10-15K,1-3年本科,浙商期货,互联网金融不需要融资500-999人,年终奖，定期体检，餐补，五险一金，加班补助，假期不补班，过节费，带薪年假，节日福利,https://www.zhipin.com/job_detail/03ac988a8ec9adcd1nF72tq7EVpZ.html
爬虫工程师python,杭州·西湖区·古荡,10-15K·13薪,3-5年本科,舆途,计算机软件未融资20-99人,股票期权，免费班车，包吃，通讯补贴，住房补贴，交通补助，员工旅游，餐补，带薪年假，定期体检，全勤奖，五险一金，年终奖，节日福利，零食下午茶，加班补助，补充医疗保险,https://www.zhipin.com/job_detail/5539136f3a1490391n162du4GFpT.html
Python自动化测试,杭州·滨江区·长河,17-30K,3-5年本科,积煜,人力资源服务未融资100-499人,通讯补贴，带薪年假，五险一金,https://www.zhipin.com/job_detail/aee764e6820bc22e1XVy2tu-GFZS.html
Python开发工程师,杭州·滨江区·长河,13-25K·13薪,3-5年本科,神州新桥,互联网不需要融资1000-9999人,海外游，五险一金，餐补，节日福利，年终奖，定期体检，带薪年假，员工旅游，补充医疗保险，通讯补贴,https://www.zhipin.com/job_detail/104af6ae3617df011XV929m9GFZQ.html
高级Python(pyqt)开发工程师,杭州·余杭区·五常,15-30K·14薪,经验不限大专,保融科技,计算机软件未融资1000-9999人,节日福利，交通补助，带薪年假，员工旅游，餐补，周末双休，定期体检，零食下午茶，六险一金，年终奖，通讯补贴,https://www.zhipin.com/job_detail/d0ac5140f43c955a1XR42du4FlRW.html
Python后端开发工程师,杭州·余杭区·仓前,30-40K·13薪,3-5年学历不限,迅蚁,智能硬件B轮100-499人,定期体检，节日福利，员工旅游，年终奖，股票期权，带薪年假，五险一金，零食下午茶，加班补助，补充医疗保险，交通补助,https://www.zhipin.com/job_detail/fda171f339e1897d1XR73dW1EVVV.html
Python后台开发工程师,杭州,12-24K,3-5年本科,阜博集团,计算机软件已上市100-499人,零食下午茶，餐补，节日福利，五险一金，员工旅游，定期体检，带薪年假,https://www.zhipin.com/job_detail/9c2aff344bcc3e4b1nNz3di5FlpU.html
Python开发工程师（算法方向）,杭州·萧山区·奥体中心,12-15K,1-3年本科,舜云互联,互联网天使轮100-499人,节日福利，带薪年假，定期体检，股票期权，年终奖，五险一金,https://www.zhipin.com/job_detail/b703a912cd9648971XR829u7EVpT.html
Python软件开发工程师,杭州·滨江区·长河,15-30K·16薪,经验不限本科,华为企业通信,计算机软件未融资10000人以上,定期体检，加班补助，免费班车，五险一金，股票期权，补充医疗保险，年终奖,https://www.zhipin.com/job_detail/9bd257fedbb1832b1XR_2Nu5FFdR.html
Python工程师,杭州·滨江区·浦沿,8-13K·13薪,1-3年本科,中启乘数,计算机软件不需要融资20-99人,带薪年假，年终奖，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/741cae6ae5dab50d1XV70tm1ElpU.html
Python开发【h互联网百强，不加班，双休】,杭州,20-30K·13薪,经验不限本科,中至集团,互联网不需要融资500-999人,法定节假日，定期体检，五险一金，带薪年假，股票期权，节日福利，年终奖，员工旅游，员工宿舍，全勤奖,https://www.zhipin.com/job_detail/fbab41ed47ab26dd1XR53d24GVJV.html
Python开发工程师【西湖区·双休·统本3年】,杭州·西湖区·转塘,12-16K,1-3年大专,法本,计算机软件已上市10000人以上,定期体检，年终奖，加班补助，零食下午茶，企业文化，员工旅游，带薪年假，节日福利，全勤奖，五险一金,https://www.zhipin.com/job_detail/192f72eeaceb1e1e1XZ43N-8ElpY.html
