school,test,college,subject,style,direction,Remarks,polite,language,math,project
(10288)南京理工大学,统考,(104)电子工程与光电技术学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,非全日制,(F1)不区分研究方向(非全),各学院各专业用于公开招考的人数将根据国家最终下达的招生计划数、实际录取的推免生数、考生报考情况等进行适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(821)电磁场与电磁波
(10288)南京理工大学,统考,(104)电子工程与光电技术学院,(085407)(专业学位)仪器仪表工程,全日制,(01)不区分研究方向,各学院各专业用于公开招考的人数将根据国家最终下达的招生计划数、实际录取的推免生数、考生报考情况等进行适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)光电基础
(10288)南京理工大学,统考,(104)电子工程与光电技术学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,非全日制,(F1)不区分研究方向(非全),各学院各专业用于公开招考的人数将根据国家最终下达的招生计划数、实际录取的推免生数、考生报考情况等进行适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)信号、系统与数字电路
(10288)南京理工大学,统考,(102)环境与生物工程学院,(085409)(专业学位)生物医学工程,全日制,(01)不区分研究方向,各学院各专业用于公开招考的人数将根据国家最终下达的招生计划数、实际录取的推免生数、考生报考情况等进行适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)普通生物化学
(10288)南京理工大学,统考,(101)机械工程学院,(085407)(专业学位)仪器仪表工程,全日制,(03)不区分研究方向,各学院各专业用于公开招考的人数将根据国家最终下达的招生计划数、实际录取的推免生数、考生报考情况等进行适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(880)信号与测控系统
(10288)南京理工大学,统考,(104)电子工程与光电技术学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,全日制,(01)不区分研究方向,各学院各专业用于公开招考的人数将根据国家最终下达的招生计划数、实际录取的推免生数、考生报考情况等进行适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(821)电磁场与电磁波
(10287)南京航空航天大学,统考,(016)计算机科学与技术学院/人工智能学院,(085400)(专业学位)电子信息,全日制,(01)网络与分布计算,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(829)计算机专业基础
(10287)南京航空航天大学,统考,(015)航天学院,(085400)(专业学位)电子信息,全日制,(02)飞行器导航制导与控制,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(820)自动控制原理
(10287)南京航空航天大学,统考,(015)航天学院,(085400)(专业学位)电子信息,非全日制,(FF)非全（研究方向不区分）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(811)普通物理
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F8)微波光子技术（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
