symbol,name,current,chg,first_percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH600354,敦煌种业,6.97,-0.12,96.48,-11.21,19456502,135623750.0,3.69,100.273,0.0,3678780498.0
SZ301069,凯盛新材,24.46,-0.42,547.97,-10.77,2175373,53352924.49,1.55,47.555,0.613,10288854400.0
SZ000786,北新建材,27.85,-0.48,162.06,10.49,11605348,323973994.5,0.71,14.854,2.352,47052793400.0
SH600552,凯盛科技,11.66,-0.2,138.93,26.73,10761981,126025277.0,1.2,76.546,0.429,11014116384.0
SZ300965,恒宇信通,47.65,-0.82,108.0,10.32,436183,20875591.08,2.65,95.292,0.157,2859000000.0
SH601888,中国中免,123.64,-2.13,44.99,-42.36,22492405,2804134958.0,1.15,53.652,0.647,255793732200.0
SH605080,浙江自然,30.14,-0.52,44.0,-10.13,799546,24250592.0,1.7,21.86,0.521,4267011426.0
SH603235,天新药业,29.43,-0.51,44.01,3.59,1045192,30914429.0,2.39,23.317,2.413,12883865400.0
SZ000935,四川双马,18.55,-0.32,106.22,-11.67,6332151,117783272.89,0.83,18.354,0.0,14161818177.0
SZ002105,信隆健康,6.37,-0.11,160.29,-9.29,2716275,17335301.75,0.74,15.017,1.57,2347345000.0
SZ300123,亚光科技,6.92,-0.12,17.38,17.09,13753847,95810481.78,1.39,,0.0,6972309131.0
SH688393,安必平,24.69,-0.43,97.91,12.88,873232,21697639.0,1.44,74.787,0.567,2310186488.0
SH600750,江中药业,18.42,-0.32,47.21,31.16,9849573,182125390.0,1.58,17.75,6.243,11594376126.0
SZ301099,雅创电子,48.88,-0.85,179.9,-28.36,2028321,99207219.42,7.24,29.572,1.023,3910400000.0
SH603052,可川科技,29.91,-0.52,44.0,-9.5,765920,22976825.0,3.18,19.88,1.194,2880931200.0
SZ300406,九强生物,19.55,-0.34,43.99,19.95,6389203,125385457.55,1.89,28.614,0.512,11504107648.0
SZ300030,阳普医疗,7.44,-0.13,35.96,7.98,4272802,31925438.94,1.59,,0.0,2300353624.0
SH605009,豪悦护理,45.64,-0.8,43.99,-9.84,1064577,48894000.0,2.06,15.835,2.739,7084557952.0
SZ301366,一博科技,36.03,-0.63,-8.19,38.67,3407759,122603711.56,9.77,36.445,1.08,5404500036.0
SH688606,奥泰生物,51.3,-0.9,30.13,-19.49,459539,23803443.0,1.32,23.135,13.253,4067107862.0
SH600250,南纺股份,6.84,-0.12,111.58,17.32,5209500,35815416.0,1.83,24.754,0.0,2124462132.0
SZ300056,中创环保,6.8,-0.12,75.82,-3.0,3644724,24788562.2,0.95,,0.0,2621335012.0
SZ300690,双一科技,15.31,-0.27,43.99,-4.23,1426549,21869570.16,1.3,32.512,0.98,2531491950.0
SZ002668,奥马电器,7.93,-0.14,23.18,49.34,14612049,116292396.71,1.35,15.039,0.0,8597003624.0
SZ300141,和顺电气,9.63,-0.17,93.81,19.04,3034400,29180875.0,1.54,,0.0,2444908698.0
SZ001207,联科科技,15.93,-0.28,44.01,19.02,1433800,22925286.0,2.21,30.651,1.142,3224573922.0
SZ002739,万达电影,14.21,-0.25,43.98,1.5,31444521,447270857.41,1.49,,0.0,30968830790.0
SZ300501,海顺新材,15.8,-0.28,44.01,9.86,3545000,56255095.0,2.84,29.497,0.316,3057797779.0
SZ300849,锦盛新材,11.84,-0.21,44.03,-1.33,1364600,16232229.0,1.12,,0.0,1776000000.0
SZ301078,孩子王,11.3,-0.2,303.81,-12.74,12045518,136516826.49,1.96,77.503,0.0,12566102850.0
SZ002968,新大正,17.5,-0.31,43.98,-18.23,10193059,179918118.85,4.96,20.985,1.714,3988709953.0
SZ300879,大叶股份,17.47,-0.31,561.53,3.13,1574900,27600421.0,2.86,,0.0,2795200000.0
SZ002853,皮阿诺,19.73,-0.35,43.99,1.28,1677500,33082960.0,1.47,28.077,0.0,3680488418.0
SZ002006,精工科技,18.64,-0.33,130.7,-24.69,4233814,78965048.46,0.93,26.852,1.073,8484182400.0
SZ300168,万达信息,10.65,-0.19,-12.14,26.33,39157832,415448081.96,2.88,,0.0,15369994704.0
